x1,x10,y1,y2,loss
-19,-19,-0.413692,-0.010745,0.354534850889
-19,-18,-0.413692,-0.010745,0.354534850889
-19,-17,-0.413692,-0.010745,0.354534850889
-19,-16,-0.413692,-0.010745,0.354534850889
-19,-15,-0.413692,-0.010745,0.354534850889
-19,-14,-0.413692,-0.010745,0.354534850889
-19,-13,-0.413692,-0.010745,0.354534850889
-19,-12,-0.413692,-0.010745,0.354534850889
-19,-11,-0.413692,-0.010745,0.354534850889
-19,-10,-0.413692,-0.010745,0.354534850889
-19,-9,-0.413692,-0.010745,0.354534850889
-19,-8,-0.413692,-0.010745,0.354534850889
-19,-7,-0.413692,-0.010745,0.354534850889
-19,-6,-0.413692,-0.010745,0.354534850889
-19,-5,-0.413692,-0.010745,0.354534850889
-19,-4,-0.413692,-0.010745,0.354534850889
-19,-3,-0.413692,-0.010745,0.354534850889
-19,-2,-0.413692,-0.010745,0.354534850889
-19,-1,-0.413692,-0.010745,0.354534850889
-19,0,-0.413692,-0.010745,0.354534850889
-19,1,-0.413692,-0.010745,0.354534850889
-19,2,-0.413692,-0.010745,0.354534850889
-19,3,-0.413692,-0.010745,0.354534850889
-19,4,-0.413692,-0.010745,0.354534850889
-19,5,-0.413692,-0.010745,0.354534850889
-19,6,-0.413692,-0.010745,0.354534850889
-19,7,-0.413692,-0.010745,0.354534850889
-19,8,-0.413692,-0.010745,0.354534850889
-19,9,-0.413692,-0.010745,0.354534850889
-19,10,-0.413692,-0.010745,0.354534850889
-19,11,-0.413692,-0.010745,0.354534850889
-19,12,-0.349901,0.192342,0.17312683476500002
-19,13,-0.357026,0.158867,0.194358593365
-19,14,-0.36415,0.12539,0.21793347459999995
-19,15,-0.371275,0.091911,0.24385332254599998
-19,16,-0.3784,0.058431,0.272117106761
-19,17,-0.385526,0.024949,0.30272658427699994
-19,18,-0.392652,-0.008534,0.33568056226
-19,19,-0.399778,-0.042018,0.370979241608
-18,-20,-0.399778,-0.042018,0.370979241608
-18,-19,-0.399778,-0.042018,0.370979241608
-18,-18,-0.399778,-0.042018,0.370979241608
-18,-17,-0.399778,-0.042018,0.370979241608
-18,-16,-0.399778,-0.042018,0.370979241608
-18,-15,-0.399778,-0.042018,0.370979241608
-18,-14,-0.399778,-0.042018,0.370979241608
-18,-13,-0.399778,-0.042018,0.370979241608
-18,-12,-0.399778,-0.042018,0.370979241608
-18,-11,-0.399778,-0.042018,0.370979241608
-18,-10,-0.399778,-0.042018,0.370979241608
-18,-9,-0.399778,-0.042018,0.370979241608
-18,-8,-0.399778,-0.042018,0.370979241608
-18,-7,-0.399778,-0.042018,0.370979241608
-18,-6,-0.399778,-0.042018,0.370979241608
-18,-5,-0.399778,-0.042018,0.370979241608
-18,-4,-0.399778,-0.042018,0.370979241608
