,角度X/度,角度Y/度,高度H/米,角速度X/弧度每秒,角速度Y/弧度每秒,平动速度H/米每秒,角加速度X/弧度每二次方秒,角加速度Y/弧度每二次方秒,平动加速度H/弧度每二次方秒
-0.023999999999999938,-0.0,-0.44758,-0.082387,-0.0,-0.201331,0.704049,0.0,-2.100464,7.570169
-0.022999999999999937,-0.0,-0.459115,-0.081683,-0.0,-0.203584,0.711619,-0.0,-2.082555,7.505626
-0.021999999999999936,-0.0,-0.47078,-0.080971,-0.0,-0.20582,0.719125,-0.0,-2.064453,7.440385
-0.020999999999999935,-0.0,-0.482572,-0.080252,-0.0,-0.208041,0.726565,0.0,-2.046159,7.374452
-0.019999999999999934,-0.0,-0.494492,-0.079526,-0.0,-0.210244,0.73394,0.0,-2.027675,7.307833
-0.018999999999999934,-0.0,-0.506538,-0.078792,-0.0,-0.212431,0.741248,-0.0,-2.009002,7.240534
-0.017999999999999933,-0.0,-0.51871,-0.07805,-0.0,-0.214601,0.748488,-0.0,-1.990142,7.17256
-0.016999999999999932,-0.0,-0.531005,-0.077302,-0.0,-0.216753,0.755661,-0.0,-1.971096,7.103919
-0.01599999999999993,-0.0,-0.543424,-0.076546,-0.0,-0.218888,0.762765,-0.0,-1.951867,7.034615
-0.01499999999999993,-0.0,-0.555966,-0.075784,-0.0,-0.221005,0.769799,-0.0,-1.932456,6.964656
-0.01399999999999993,-0.0,-0.568628,-0.075014,-0.0,-0.223104,0.776764,0.0,-1.912865,6.894047
-0.012999999999999928,-0.0,-0.581411,-0.074237,-0.0,-0.225186,0.783658,-0.0,-1.893095,6.822795
-0.011999999999999927,-0.0,-0.594313,-0.073453,-0.0,-0.227249,0.790481,0.0,-1.873149,6.750907
-0.010999999999999927,-0.0,-0.607334,-0.072663,-0.0,-0.229293,0.797232,-0.0,-1.853028,6.678388
-0.009999999999999926,-0.0,-0.620471,-0.071866,-0.0,-0.231319,0.80391,-0.0,-1.832733,6.605245
-0.008999999999999925,-0.0,-0.633725,-0.071062,-0.0,-0.233326,0.810515,-0.0,-1.812268,6.531486
-0.007999999999999924,-0.0,-0.647094,-0.070251,-0.0,-0.235314,0.817047,-0.0,-1.791633,6.457116
-0.006999999999999924,-0.0,-0.660576,-0.069434,-0.0,-0.237283,0.823504,0.0,-1.77083,6.382142
-0.005999999999999924,-0.0,-0.674171,-0.068611,-0.0,-0.239232,0.829886,-0.0,-1.749862,6.306571
-0.004999999999999924,-0.0,-0.687878,-0.067781,-0.0,-0.241162,0.836193,0.0,-1.72873,6.23041
-0.003999999999999924,-0.0,-0.701696,-0.066945,-0.0,-0.243072,0.842423,-0.0,-1.707437,6.153666
-0.0029999999999999237,-0.0,-0.715623,-0.066102,-0.0,-0.244962,0.848577,0.0,-1.685983,6.076346
-0.0019999999999999237,-0.0,-0.729658,-0.065254,-0.0,-0.246832,0.854653,-0.0,-1.664372,5.998456
-0.0009999999999999237,-0.0,-0.743801,-0.064399,-0.0,-0.248682,0.860651,0.0,-1.642604,5.920004
7.632783294297951e-17,-0.0,-0.758049,-0.063538,-0.0,-0.250511,0.866571,-0.0,-1.620683,5.840997
0.0010000000000000763,-0.0,-0.772402,-0.062672,-0.0,-0.252319,0.872412,-1.027526,-1.027619,6.651753
0.0020000000000000764,-0.0,-0.786859,-0.061799,-0.001149,-0.253469,0.879064,-1.013238,-1.013333,6.55928
0.0030000000000000764,-6.6e-05,-0.801382,-0.06092,-0.002285,-0.254604,0.885623,-0.99884,-0.998938,6.466096
0.004000000000000076,-0.000197,-0.81597,-0.060035,-0.003407,-0.255727,0.89209,-0.984334,-0.984434,6.372212
0.005000000000000076,-0.000392,-0.830622,-0.059142,-0.004516,-0.256836,0.898462,-0.969721,-0.969823,6.277638
0.0060000000000000765,-0.000651,-0.845337,-0.058244,-0.005611,-0.257931,0.904739,-0.955003,-0.955107,6.182383
0.0070000000000000765,-0.000972,-0.860116,-0.057339,-0.006692,-0.259012,0.910922,-0.940182,-0.940288,6.086457
0.008000000000000076,-0.001356,-0.874956,-0.056428,-0.007759,-0.260079,0.917008,-0.925258,-0.925366,5.98987
0.009000000000000077,-0.0018,-0.889857,-0.055511,-0.008812,-0.261132,0.922998,-0.910234,-0.910344,5.892633
0.010000000000000078,-0.002305,-0.904819,-0.054588,-0.009851,-0.262171,0.928891,-0.895111,-0.895223,5.794755
0.01100000000000008,-0.002869,-0.91984,-0.053659,-0.010876,-0.263196,0.934686,-0.879891,-0.880005,5.696248
0.01200000000000008,-0.003493,-0.93492,-0.052725,-0.011886,-0.264206,0.940382,-0.864576,-0.864691,5.59712
0.013000000000000081,-0.004174,-0.950058,-0.051784,-0.012881,-0.265202,0.945979,-0.849166,-0.849283,5.497384
0.014000000000000082,-0.004912,-0.965253,-0.050838,-0.013863,-0.266183,0.951476,-0.833664,-0.833782,5.397049
0.015000000000000083,-0.005706,-0.980504,-0.049887,-0.014829,-0.26715,0.956873,-0.818071,-0.818191,5.296126
0.016000000000000084,-0.006556,-0.995811,-0.04893,-0.01578,-0.268101,0.962169,-0.802389,-0.80251,5.194625
0.017000000000000084,-0.00746,-1.011172,-0.047968,-0.016717,-0.269038,0.967364,-0.786619,-0.786742,5.092558
0.018000000000000085,-0.008418,-1.026587,-0.047001,-0.017638,-0.269959,0.972457,-0.770764,-0.770888,4.989935
0.019000000000000086,-0.009428,-1.042054,-0.046028,-0.018545,-0.270866,0.977447,-0.754824,-0.754949,4.886766
0.020000000000000087,-0.010491,-1.057574,-0.045051,-0.019436,-0.271757,0.982333,-0.738802,-0.738928,4.783064
0.021000000000000088,-0.011604,-1.073144,-0.044068,-0.020312,-0.272633,0.987116,-0.7227,-0.722827,4.678838
0.02200000000000009,-0.012768,-1.088765,-0.043081,-0.021172,-0.273493,0.991795,-0.706518,-0.706646,4.5741
0.02300000000000009,-0.013981,-1.104435,-0.042089,-0.022017,-0.274338,0.996369,-0.690259,-0.690388,4.468861
0.02400000000000009,-0.015243,-1.120153,-0.041093,-0.022846,-0.275168,1.000838,-0.673925,-0.674054,4.363132
0.02500000000000009,-0.016551,-1.135919,-0.040092,-0.023659,-0.275981,1.005201,-0.657517,-0.657646,4.256925
0.026000000000000092,-0.017907,-1.151732,-0.039087,-0.024457,-0.276779,1.009458,-0.641036,-0.641166,4.15025
0.027000000000000093,-0.019308,-1.16759,-0.038078,-0.025239,-0.277561,1.013609,-0.624486,-0.624615,4.043119
0.028000000000000094,-0.020754,-1.183493,-0.037064,-0.026005,-0.278327,1.017652,-0.607866,-0.607996,3.935543
0.029000000000000095,-0.022244,-1.19944,-0.036046,-0.026754,-0.279077,1.021587,-0.59118,-0.59131,3.827534
0.030000000000000096,-0.023777,-1.21543,-0.035025,-0.027488,-0.279811,1.025415,-0.574429,-0.574559,3.719104
